label,game_id,source_class,source_username,white_elo,black_elo,elo_diff_abs,ply_count,opening_family,clock_tag_count,has_clock_data,move_count_total,avg_move_time,median_move_time,std_move_time,max_move_time,cv_move_time,fast_move_ratio,slow_move_ratio,white_move_count,white_avg_move_time,white_median_move_time,white_std_move_time,white_fast_move_ratio,white_slow_move_ratio,black_move_count,black_avg_move_time,black_median_move_time,black_std_move_time,black_fast_move_ratio,black_slow_move_ratio,wb_avg_time_diff,wb_move_count_diff
1,7nDgDPHo,bot,maia5,1922,1658,264,75,SCANDINAVIAN,75,True,73,3.041095890410959,1.0,3.164175999834446,13.0,1.0404722882338493,0.589041095890411,0.0136986301369863,37,0.5135135135135135,1.0,0.4998173515920792,1.0,0.0,36,5.638888888888889,6.0,2.594361169255971,0.16666666666666666,0.027777777777777776,-5.125375375375376,1
1,j7GOlf50,bot,maia1,1787,1574,213,81,OTHER,81,True,79,1.9746835443037976,1.0,2.6432368129289667,14.0,1.338562232188387,0.6582278481012658,0.012658227848101266,40,3.75,3.0,2.6995369973386176,0.325,0.025,39,0.15384615384615385,0.0,0.36080121229410994,1.0,0.0,3.5961538461538463,1
0,HtaZAPmu,human,,1905,1919,14,132,QUEEN'S_PAWN,132,True,130,6.746153846153846,4.0,8.087322974842063,65.0,1.1988050019720276,0.38461538461538464,0.2,65,7.861538461538461,5.0,9.416641444521213,0.36923076923076925,0.27692307692307694,65,5.630769230769231,3.0,6.296688337822402,0.4,0.12307692307692308,2.23076923076923,0
1,RYHTmwmf,bot,Boris-Trapsky,2179,2222,43,78,OTHER,78,True,76,6.592105263157895,5.0,7.384510160106027,44.0,1.1202051340679802,0.3026315789473684,0.15789473684210525,38,8.710526315789474,6.0,9.76812187609008,0.3684210526315789,0.3157894736842105,38,4.473684210526316,4.0,2.161101596594506,0.23684210526315788,0.0,4.236842105263158,0
0,N8R8aAnp,human,,2007,2044,37,42,PHILIDOR,42,True,40,6.825,3.0,9.593975974537356,47.0,1.405710765499979,0.425,0.2,20,9.5,6.5,12.527968710050326,0.35,0.3,20,4.15,2.5,3.581549943809244,0.5,0.1,5.35,0
1,KgebqTE4,bot,Boris-Trapsky,2213,1777,436,47,PHILIDOR,47,True,45,5.644444444444445,4.0,5.873312733810094,38.0,1.0405475315805284,0.2222222222222222,0.08888888888888889,23,5.608695652173913,5.0,2.201563287160376,0.043478260869565216,0.08695652173913043,22,5.681818181818182,3.0,8.092568777680398,0.4090909090909091,0.09090909090909091,-0.07312252964426857,1
0,BS3ekge9,human,,1906,1905,1,113,OTHER,113,True,111,6.711711711711712,3.0,8.792285098324735,58.0,1.3099914710255645,0.38738738738738737,0.2072072072072072,56,8.107142857142858,4.0,10.834268667105334,0.30357142857142855,0.25,55,5.290909090909091,3.0,5.700630674113578,0.4727272727272727,0.16363636363636364,2.8162337662337666,1
1,NGU35vup,bot,maia1,1567,1547,20,64,KING'S_PAWN,64,True,62,5.451612903225806,4.5,4.199375603951058,21.0,0.7702996669969396,0.3064516129032258,0.14516129032258066,31,5.451612903225806,5.0,3.251190448747513,0.22580645161290322,0.12903225806451613,31,5.451612903225806,4.0,4.969836173566647,0.3870967741935484,0.16129032258064516,0.0,0
1,0RzqMczL,bot,maia9,1619,1716,97,80,SICILIAN,80,True,78,4.435897435897436,4.0,3.044919027973733,15.0,0.6864268328958125,0.34615384615384615,0.05128205128205128,39,3.4358974358974357,2.0,3.2565112037654402,0.5128205128205128,0.07692307692307693,39,5.435897435897436,6.0,2.436841922157276,0.1794871794871795,0.02564102564102564,-2.0000000000000004,0
0,nmcBqLsi,human,,1916,1992,76,86,QUEEN'S_PAWN,86,True,84,9.857142857142858,6.5,9.795702236844747,47.0,0.9937668935929452,0.25,0.42857142857142855,42,9.5,6.0,11.396010162291345,0.2857142857142857,0.3333333333333333,42,10.214285714285714,10.0,7.860497119520265,0.21428571428571427,0.5238095238095238,-0.7142857142857135,0
0,3NTlQsUb,human,,1866,1854,12,218,FRENCH,218,True,216,3.4074074074074074,2.0,4.123188798861415,27.0,1.2100662779267197,0.6203703703703703,0.08796296296296297,108,3.75,2.0,4.432884271325269,0.5462962962962963,0.10185185185185185,108,3.064814814814815,2.0,3.7571491067231935,0.6944444444444444,0.07407407407407407,0.6851851851851851,0
1,VyxNghYY,bot,maia1,1553,1564,11,112,CARO_KANN,112,True,110,4.6909090909090905,3.0,5.372904165677415,39.0,1.145386546946736,0.4636363636363636,0.13636363636363635,55,4.363636363636363,4.0,3.147083130679099,0.32727272727272727,0.05454545454545454,55,5.0181818181818185,2.0,6.900568906957558,0.6,0.21818181818181817,-0.6545454545454552,0
1,d9VIVZw6,bot,simpleEval,2268,1807,461,37,INDIAN_DEFENSE,37,True,35,7.057142857142857,5.0,8.035431741064453,32.0,1.1386239309200643,0.34285714285714286,0.22857142857142856,18,7.0,6.0,6.333333333333333,0.2777777777777778,0.2777777777777778,17,7.117647058823529,4.0,9.510875217604545,0.4117647058823529,0.17647058823529413,-0.117647058823529,1
0,1Ow2TTvu,human,,2230,2077,153,38,OTHER,38,True,36,7.638888888888889,5.5,9.425593932885839,46.0,1.233895933032328,0.3055555555555556,0.19444444444444445,18,9.38888888888889,4.5,12.732892177737018,0.3888888888888889,0.2777777777777778,18,5.888888888888889,6.5,3.0711722135745005,0.2222222222222222,0.1111111111111111,3.5,0
0,NZtWqSf0,human,,1839,1803,36,50,PETROV,50,True,48,6.979166666666667,5.0,6.612770420851527,34.0,0.9475014334354427,0.20833333333333334,0.20833333333333334,24,7.5,5.5,5.530220007679019,0.16666666666666666,0.25,24,6.458333333333333,4.0,7.5054378434720395,0.25,0.16666666666666666,1.041666666666667,0
0,DMB7lrdQ,human,,1806,1848,42,64,FRENCH,64,True,62,3.967741935483871,3.0,2.940088554379996,12.0,0.7409979283396738,0.3870967741935484,0.08064516129032258,31,4.741935483870968,4.0,3.1001325875442487,0.2903225806451613,0.0967741935483871,31,3.193548387096774,3.0,2.5453227799456597,0.4838709677419355,0.06451612903225806,1.548387096774194,0
1,wnipXtln,bot,simpleEval,2263,1829,434,80,OTHER,80,True,78,11.282051282051283,7.0,14.152011215133614,82.0,1.2543828122504794,0.19230769230769232,0.358974358974359,39,8.461538461538462,7.0,5.834671585010674,0.1282051282051282,0.3076923076923077,39,14.102564102564102,7.0,18.724445658556885,0.2564102564102564,0.41025641025641024,-5.6410256410256405,0
0,onRtccuS,human,,1971,1960,11,76,OTHER,76,True,74,12.486486486486486,6.0,15.657001924916674,76.0,1.253915738575578,0.17567567567567569,0.33783783783783783,37,9.432432432432432,5.0,12.906190721825604,0.13513513513513514,0.21621621621621623,37,15.54054054054054,8.0,17.465943068594477,0.21621621621621623,0.4594594594594595,-6.108108108108109,0
1,6PU2jsRa,bot,Lynx_BOT,2749,1955,794,105,FRENCH,105,True,103,6.330097087378641,3.0,6.896443926077083,44.0,1.0894689024324227,0.27184466019417475,0.2524271844660194,52,9.25,9.0,8.566201473950265,0.3269230769230769,0.5,51,3.3529411764705883,3.0,1.9181642511993096,0.21568627450980393,0.0,5.897058823529411,1
0,2jwOoNBQ,human,,1806,1801,5,60,RUY_LOPEZ,60,True,58,6.689655172413793,3.0,8.354653662009481,47.0,1.2488915267952319,0.3793103448275862,0.20689655172413793,29,4.655172413793103,3.0,3.622495444598316,0.3448275862068966,0.10344827586206896,29,8.724137931034482,4.0,10.8719714030102,0.41379310344827586,0.3103448275862069,-4.068965517241379,0
0,bl9nmgty,human,,1983,2048,65,51,OTHER,51,True,49,8.16326530612245,4.0,9.19926114773934,35.0,1.1269094905980692,0.3469387755102041,0.2857142857142857,25,8.08,3.0,9.887042024791844,0.44,0.28,24,8.25,4.5,8.422440263961509,0.25,0.2916666666666667,-0.16999999999999993,1
1,rCIZNz42,bot,Boris-Trapsky,2198,2242,44,122,OTHER,122,True,120,5.858333333333333,4.0,6.732131699708661,41.0,1.149154770931777,0.26666666666666666,0.16666666666666666,60,8.516666666666667,6.5,8.552761087638437,0.25,0.31666666666666665,60,3.2,3.0,1.833030277982336,0.2833333333333333,0.016666666666666666,5.316666666666667,0
0,QLOtUg8l,human,,2087,2079,8,33,QUEEN'S_PAWN,33,True,31,6.032258064516129,4.0,6.367679837589816,27.0,1.0556046789587397,0.3870967741935484,0.22580645161290322,16,5.4375,2.5,6.782042004440846,0.5,0.25,15,6.666666666666667,5.0,5.827139568909908,0.26666666666666666,0.2,-1.229166666666667,1
1,xzc4MeYM,bot,maia9,1723,1713,10,106,ZUKERTORT,106,True,104,5.480769230769231,5.0,4.737292250835121,43.0,0.8643480598014956,0.20192307692307693,0.08653846153846154,52,5.480769230769231,5.0,2.03328442725807,0.09615384615384616,0.019230769230769232,52,5.480769230769231,4.0,6.383543700603513,0.3076923076923077,0.15384615384615385,0.0,0
