game_id,label,source_class,source_username,engine_nonmate_move_count,critical_nonmate_positions_count,time_pressure_positions_count,best_move_ratio,top2_move_ratio,top3_move_ratio,best_move_ratio_in_critical_positions,best_move_ratio_under_time_pressure
fEcUdMpv,1,bot,OpeningsBot,58,12,21,0.43103448275862066,0.6379310344827587,0.7241379310344828,0.9166666666666666,0.3333333333333333
fHAAAJCR,1,bot,maia1,51,11,28,0.39215686274509803,0.6274509803921569,0.6470588235294118,0.7272727272727273,0.32142857142857145
fKvwCbRJ,1,bot,Lynx_BOT,38,8,4,0.5789473684210527,0.7368421052631579,0.8157894736842105,0.875,0.5
fQmnpjfo,1,bot,Boris-Trapsky,84,17,23,0.4880952380952381,0.6190476190476191,0.7738095238095238,0.8823529411764706,0.5217391304347826
fbB3EUqo,1,bot,maia9,70,14,17,0.4857142857142857,0.6428571428571429,0.7428571428571429,0.8571428571428571,0.4117647058823529
gE3vyQe9,0,human,,87,18,29,0.45977011494252873,0.5977011494252874,0.6781609195402298,0.8333333333333334,0.4482758620689655
gz3EOlpE,0,human,,88,18,26,0.5,0.625,0.6931818181818182,0.8888888888888888,0.5
h6SKB2ce,0,human,,36,8,11,0.4722222222222222,0.6666666666666666,0.7222222222222222,0.5,0.6363636363636364
hVE1HxHW,0,human,,37,8,15,0.40540540540540543,0.5675675675675675,0.6756756756756757,0.625,0.4666666666666667
hXFJaM5J,0,human,,96,19,32,0.3541666666666667,0.4895833333333333,0.5833333333333334,0.47368421052631576,0.3125
iCDVQkDW,0,human,,72,16,17,0.375,0.5833333333333334,0.7222222222222222,0.625,0.23529411764705882
kATnDxMn,0,human,,54,11,11,0.2962962962962963,0.46296296296296297,0.5,0.7272727272727273,0.36363636363636365
lIORaCM5,0,human,,20,4,13,0.35,0.5,0.55,0.75,0.46153846153846156
lQHTTKcy,1,bot,maia9,24,5,13,0.375,0.625,0.6666666666666666,1.0,0.38461538461538464
lQZr2DEt,0,human,,45,9,19,0.5777777777777777,0.7333333333333333,0.7555555555555555,0.8888888888888888,0.5789473684210527
ludo21cy,1,bot,maia9,38,8,7,0.34210526315789475,0.5,0.6052631578947368,0.5,0.2857142857142857
nRKjBCaU,1,bot,Boris-Trapsky,79,16,16,0.43037974683544306,0.6582278481012658,0.7088607594936709,0.875,0.4375
nc9yszM8,0,human,,27,6,7,0.3333333333333333,0.4444444444444444,0.6296296296296297,0.6666666666666666,0.7142857142857143
nmcBqLsi,0,human,,82,17,20,0.43902439024390244,0.5853658536585366,0.7073170731707317,0.7058823529411765,0.6
npKvG0uJ,0,human,,68,14,21,0.4117647058823529,0.6029411764705882,0.6764705882352942,0.42857142857142855,0.42857142857142855
oiaIinzY,1,bot,maia1,39,8,12,0.358974358974359,0.48717948717948717,0.5641025641025641,0.75,0.25
onRtccuS,0,human,,76,15,13,0.4868421052631579,0.6578947368421053,0.7368421052631579,0.8,0.6153846153846154
owCIERKL,0,human,,92,19,28,0.3804347826086957,0.5869565217391305,0.6956521739130435,0.8421052631578947,0.35714285714285715
ozBisFxV,0,human,,114,23,25,0.3333333333333333,0.5175438596491229,0.6403508771929824,0.6521739130434783,0.36
pMyZ0xDV,1,bot,OpeningsBot,104,21,26,0.47115384615384615,0.6442307692307693,0.7596153846153846,0.8095238095238095,0.38461538461538464
pSkyJ2ji,0,human,,105,21,48,0.41904761904761906,0.638095238095238,0.6952380952380952,0.7619047619047619,0.4791666666666667
pTIJrung,1,bot,OpeningsBot,85,17,36,0.38823529411764707,0.5529411764705883,0.6941176470588235,0.8235294117647058,0.4444444444444444
q01FXTQp,1,bot,maia5,66,14,45,0.3484848484848485,0.5454545454545454,0.6212121212121212,0.5714285714285714,0.3111111111111111
qV2o1E2u,0,human,,58,12,18,0.43103448275862066,0.6206896551724138,0.6379310344827587,0.8333333333333334,0.5
qgvA0zos,1,bot,Lynx_BOT,119,25,16,0.4957983193277311,0.7226890756302521,0.865546218487395,0.8,0.625
rhCE4nBF,0,human,,74,15,17,0.3918918918918919,0.6351351351351351,0.7297297297297297,0.7333333333333333,0.17647058823529413
sMiLZwVF,1,bot,Boris-Trapsky,48,10,4,0.4583333333333333,0.5416666666666666,0.6666666666666666,0.6,0.0
ugkFRLNo,0,human,,39,9,14,0.48717948717948717,0.717948717948718,0.7692307692307693,0.6666666666666666,0.5
vMCpnFc5,1,bot,maia1,34,7,13,0.5588235294117647,0.7352941176470589,0.7647058823529411,0.8571428571428571,0.6923076923076923
wIWireHB,1,bot,Boris-Trapsky,57,12,7,0.47368421052631576,0.5964912280701754,0.6666666666666666,0.6666666666666666,0.42857142857142855
xMj1eZo5,0,human,,86,17,15,0.4418604651162791,0.5581395348837209,0.6627906976744186,0.6470588235294118,0.5333333333333333
xmAJ0Jje,0,human,,55,11,18,0.45454545454545453,0.6909090909090909,0.7454545454545455,1.0,0.4444444444444444
xpxWZXc9,1,bot,simpleEval,147,29,38,0.5306122448979592,0.7482993197278912,0.8231292517006803,0.8620689655172413,0.5
y7qnWukP,1,bot,Lynx_BOT,44,8,7,0.5,0.7954545454545454,0.8863636363636364,0.875,0.42857142857142855
yUMQtabt,0,human,,25,5,7,0.52,0.64,0.72,0.8,0.14285714285714285
yYCBCAIS,0,human,,50,10,8,0.46,0.56,0.64,0.9,0.25
z73rg3cI,0,human,,80,16,12,0.425,0.5625,0.675,0.625,0.3333333333333333
zQoUl4z6,1,bot,simpleEval,123,25,24,0.43089430894308944,0.6991869918699187,0.7723577235772358,0.76,0.4583333333333333
zxqYUmlE,1,bot,maia1,137,28,90,0.36496350364963503,0.5255474452554745,0.708029197080292,0.6428571428571429,0.32222222222222224
