game_id,label,source_class,source_username,engine_move_count,critical_positions_count,error_moves_count,time_complexity_corr,critical_time_lift,cpl_mean,cpl_median,cpl_std,post_error_time_ratio
G3yVv9l1,0,human,,120,24,13,0.12129464251714538,1.4100000000000001,28.875,5.5,48.03463377258816,1.99087656529517
GfKHhR2Y,1,bot,maia9,108,21,6,0.04436029367805896,0.9804355850867478,24.27659574468085,6.5,37.17337306469229,0.8550368550368551
HoMLXXXY,1,bot,maia5,43,9,7,0.017048703887110207,0.9131754705525198,64.11627906976744,25.0,89.0774967804232,
HtaZAPmu,0,human,,132,27,26,0.13629157760568233,1.1468253968253967,61.99242424242424,24.0,106.14644659349685,1.7538461538461538
I7VlhodR,0,human,,58,12,8,0.04584227783924412,1.4989517819706497,46.40384615384615,10.0,68.5641921614013,4.562962962962962
IIuIattl,1,bot,Humaia,54,11,12,0.10754004369939739,1.0932185597312618,73.84,11.5,113.05934017143387,1.7063892391761244
IOzPsrAh,0,human,,49,11,7,0.18616084337699126,1.5151515151515154,64.14285714285714,20.0,122.39764570231483,2.6666666666666665
IQDNH687,1,bot,simpleEval,22,4,0,0.14728132310577186,1.6923076923076923,39.5,11.5,96.10210006219238,
IUGnnNXf,0,human,,33,7,8,-0.11240215201788223,1.0350404312668462,58.24242424242424,28.0,71.07743549500988,
J639pqWz,1,bot,Lynx_BOT,183,37,6,-0.053713494533591984,1.217917217917218,17.693181818181817,5.0,31.89519697189583,0.11264000963507166
J7crNnK6,1,bot,maia5,71,14,20,0.04577179380055907,0.5061409179056239,92.31343283582089,43.0,127.85138398438673,3.4162679425837315
JGWMDYml,0,human,,140,27,18,0.0849915424596064,0.8564920273348519,47.07377049180328,13.5,90.53340729588754,2.165874802033842
JO97APqj,1,bot,maia9,89,17,14,0.027398229700960043,0.903843137254902,56.41772151898734,15.0,89.60413750547272,1.908675799086758
JgupMGd4,1,bot,maia9,121,24,14,0.09143289759798773,1.0866141732283465,49.77777777777778,16.5,94.86055392710936,1.1631104788999527
KQLqW6al,1,bot,maia5,107,22,11,0.0031774183260379675,0.9884684281236005,41.275510204081634,15.0,63.91668374903681,1.5263736263736263
KV1X3ZTR,0,human,,107,22,12,0.08265887136562647,0.8755877742946708,36.177570093457945,8.0,73.39406035252536,1.4240506329113922
KgebqTE4,1,bot,Boris-Trapsky,47,9,4,0.33475296066966115,2.083832335329341,38.276595744680854,6.0,92.10786972353009,1.1217948717948718
Ko5WWqmS,1,bot,simpleEval,232,47,22,0.03919339117545627,0.9787234042553191,41.44144144144144,27.0,45.2969550683353,0.5078476751525351
Ko6Nw2Zi,1,bot,Boris-Trapsky,22,3,0,-0.04346305178396434,0.5509259259259259,46.40909090909091,10.5,130.8533735594953,
Kp2Gd4vC,0,human,,81,16,9,0.16336924867674324,1.2463795731707317,45.87341772151899,25.0,68.62969189671601,2.443937575030012
L3tddKmt,1,bot,OpeningsBot,43,9,0,-0.2312278175136567,0.5407066052227343,23.906976744186046,10.0,33.866230661708094,
LJaBQQ14,0,human,,37,7,5,0.2431457089804572,2.4895104895104896,51.82857142857143,11.0,97.7005587684813,5.967032967032967
