game_id,label,source_class,source_username,early_move_count,middle_move_count,late_move_count,early_avg_time,middle_avg_time,late_avg_time,early_cpl_mean,middle_cpl_mean,late_cpl_mean,early_cpl_std,middle_cpl_std,late_cpl_std,time_early_to_middle_diff,time_middle_to_late_diff,cpl_early_to_middle_diff,cpl_middle_to_late_diff
BcttHfAZ,0,human,,29,29,29,5.517241379310345,11.137931034482758,11.777777777777779,23.137931034482758,32.93103448275862,83.64,24.278164075806792,34.26763933839618,138.2733177442416,5.620689655172413,0.6398467432950206,9.793103448275861,50.70896551724138
CDWwP856,0,human,,30,30,30,9.3,17.966666666666665,1.3928571428571428,27.0,77.73333333333333,74.93333333333334,46.239232980951,72.16090046247729,75.23781555101722,8.666666666666664,-16.573809523809523,50.733333333333334,-2.799999999999997
DSZIvFmR,1,bot,Boris-Trapsky,15,15,16,6.466666666666667,5.666666666666667,5.142857142857143,30.866666666666667,60.0,16.6,42.24352678879399,81.38386408455507,28.086295590554478,-0.7999999999999998,-0.5238095238095237,29.133333333333333,-43.4
DV3Eg0pP,0,human,,14,15,15,1.5,5.2,9.153846153846153,7.928571428571429,36.733333333333334,48.30769230769231,14.757391783269087,56.06004717166129,70.41130221271256,3.7,3.953846153846153,28.804761904761904,11.574358974358972
FIHrMK1X,1,bot,OpeningsBot,37,38,38,11.027027027027026,14.894736842105264,2.7777777777777777,13.891891891891891,25.473684210526315,48.59375,25.894571886352974,31.423873628103426,61.829331315626405,3.8677098150782374,-12.116959064327485,11.581792318634424,23.120065789473685
GfKHhR2Y,1,bot,maia9,36,36,36,7.222222222222222,6.472222222222222,4.529411764705882,14.222222222222221,24.61111111111111,24.391304347826086,23.783877722233875,47.496361134171686,39.103807365429134,-0.75,-1.94281045751634,10.38888888888889,-0.2198067632850247
HtaZAPmu,0,human,,44,44,44,6.9772727272727275,8.159090909090908,5.023809523809524,44.52272727272727,90.0,53.43181818181818,54.49749311847607,152.22456497496776,104.80683481513475,1.1818181818181808,-3.1352813852813846,45.47727272727273,-36.56818181818182
J639pqWz,1,bot,Lynx_BOT,61,61,61,8.78688524590164,2.9344262295081966,0.6101694915254238,4.39344262295082,5.262295081967213,30.745454545454546,9.22448397157206,10.157613052746205,37.18905908600646,-5.852459016393444,-2.3242567379827728,0.8688524590163933,25.483159463487333
J7crNnK6,1,bot,maia5,23,24,24,2.782608695652174,5.208333333333333,2.772727272727273,50.08695652173913,97.29166666666667,104.2,80.12485531071695,142.26017221001183,125.67083989533928,2.425724637681159,-2.43560606060606,47.20471014492754,6.908333333333331
Kp2Gd4vC,0,human,,27,27,27,5.444444444444445,19.59259259259259,7.92,24.037037037037038,65.81481481481481,56.16,26.819674206712204,85.65825165632064,47.342733338919075,14.148148148148147,-11.672592592592592,41.77777777777777,-9.654814814814813
L3tddKmt,1,bot,OpeningsBot,14,14,15,1.0714285714285714,8.428571428571429,9.0,15.785714285714286,14.0,42.93333333333333,28.284722204824316,22.379837864853776,36.35834001833539,7.357142857142858,0.5714285714285712,-1.7857142857142865,28.93333333333333
LblTm7bN,1,bot,maia1,18,19,19,11.777777777777779,12.105263157894736,9.235294117647058,22.666666666666668,57.63157894736842,64.0,28.511206373790795,148.31659257935044,53.68328172571145,0.3274853801169577,-2.8699690402476783,34.96491228070175,6.368421052631582
M540gZiK,0,human,,38,38,38,10.868421052631579,5.921052631578948,3.388888888888889,20.657894736842106,24.44736842105263,72.48648648648648,25.782773028546625,34.04540108707864,107.55755759482143,-4.947368421052631,-2.532163742690059,3.789473684210524,48.039118065433854
MXEUbkdu,0,human,,19,19,19,2.9473684210526314,11.105263157894736,20.11764705882353,48.73684210526316,67.47368421052632,98.17647058823529,42.31441474593331,100.17425261226855,119.7665549377659,8.157894736842104,9.012383900928793,18.736842105263158,30.702786377708975
MqNsw8FD,1,bot,simpleEval,18,18,19,5.333333333333333,6.444444444444445,7.0588235294117645,33.05555555555556,36.05555555555556,48.26315789473684,24.62941381136299,32.07711579965835,58.70877465598007,1.1111111111111116,0.6143790849673199,3.0,12.207602339181285
N4MtsNN1,1,bot,Boris-Trapsky,19,19,19,3.736842105263158,10.526315789473685,10.647058823529411,25.526315789473685,55.1578947368421,81.63157894736842,42.17802922831373,52.794799542433736,130.81172107724572,6.789473684210527,0.12074303405572628,29.631578947368418,26.473684210526322
N8R8aAnp,0,human,,14,14,14,2.4285714285714284,5.214285714285714,13.833333333333334,16.285714285714285,77.07142857142857,53.714285714285715,17.031183883975768,51.407981989618094,91.80058245335653,2.785714285714286,8.61904761904762,60.785714285714285,-23.357142857142854
Nut3mEt5,0,human,,12,12,12,7.833333333333333,13.666666666666666,15.5,3.25,18.5,49.25,4.548351349665063,29.047375096555626,79.6211079634875,5.833333333333333,1.833333333333334,15.25,30.75
