game_id,label,source_class,source_username,white_cpl_mean,black_cpl_mean,wb_cpl_mean_diff,white_best_move_ratio,black_best_move_ratio,wb_best_move_ratio_diff,white_time_complexity_corr,black_time_complexity_corr,wb_time_complexity_corr_diff,white_critical_time_lift,black_critical_time_lift,wb_critical_time_lift_diff
7Czq5JCM,0,human,,47.27272727272727,17.272727272727273,30.0,0.4090909090909091,0.5909090909090909,-0.18181818181818182,0.12035487870619242,0.16314937074696415,-0.04279449204077172,1.2673267326732673,0.6357615894039735,0.6315651432692938
7K2bVYJG,1,bot,OpeningsBot,19.36842105263158,11.810526315789474,7.557894736842105,0.4,0.5157894736842106,-0.11578947368421055,-0.05611457942865989,0.02783775609114442,-0.08395233551980431,0.8892921960072596,1.4706310679611652,-0.5813388719539055
7VmqNIj4,1,bot,maia5,39.88235294117647,77.94117647058823,-38.05882352941176,0.5294117647058824,0.4117647058823529,0.11764705882352944,0.031066479251412503,-0.06984924982183029,0.10091572907324278,1.1549999999999998,0.875,0.2799999999999998
7nDgDPHo,1,bot,maia5,27.083333333333332,41.05714285714286,-13.973809523809525,0.4444444444444444,0.37142857142857144,0.07301587301587298,-0.037223610585044406,0.1485211801243993,-0.18574479070944372,0.9333333333333333,1.021759697256386,-0.0884263639230527
7yl3qckK,1,bot,OpeningsBot,35.48529411764706,25.059701492537314,10.425592625109743,0.27941176470588236,0.4925373134328358,-0.21312554872695344,-0.08372146381218754,0.17742349498803933,-0.26114495880022687,0.3078137332280979,1.3403474903474906,-1.0325337571193927
8GRab9xx,1,bot,simpleEval,28.79032258064516,37.0,-8.20967741935484,0.4032258064516129,0.4838709677419355,-0.08064516129032262,0.023381659444730554,-0.15570329616517134,0.1790849556099019,1.4706536238328145,0.6032482598607889,0.8674053639720256
8MpYxIFU,0,human,,57.55555555555556,46.888888888888886,10.666666666666671,0.3333333333333333,0.3333333333333333,0.0,-0.17778327411561365,0.06818952881435726,-0.24597280292997092,0.9576492981203902,1.4494949494949494,-0.49184565137455916
8O8jF5VM,0,human,,42.666666666666664,70.27272727272727,-27.606060606060602,0.5,0.45454545454545453,0.04545454545454547,0.16005571988079068,0.6134396675646033,-0.4533839476838126,0.8780487804878049,2.0425531914893615,-1.1645044110015568
9Bcf79Q3,1,bot,maia9,42.65217391304348,71.04545454545455,-28.39328063241107,0.391304347826087,0.3181818181818182,0.0731225296442688,0.33116319504924596,0.3341098829742522,-0.0029466879250062417,1.051685393258427,3.909774436090226,-2.858089042831799
9JHEpppr,1,bot,OpeningsBot,12.112903225806452,25.306451612903224,-13.193548387096772,0.5806451612903226,0.3709677419354839,0.20967741935483875,0.09313569189652629,-0.23857869376823318,0.33171438566475947,0.8815839333080712,0.0,0.8815839333080712
9TikEE2t,0,human,,54.75,44.0,10.75,0.4318181818181818,0.38636363636363635,0.04545454545454547,0.00022143320541754497,0.15481976150393134,-0.1545983282985138,0.969845150774246,0.8611898016997167,0.10865534907452934
9f5NdOK1,0,human,,33.1125,36.925,-3.8125,0.4125,0.3625,0.04999999999999999,0.026597042487327135,-0.0580026327767307,0.08459967526405783,0.8944877505567929,0.9125799573560768,-0.018092206799283916
AJCuUo1T,0,human,,68.65217391304348,72.15217391304348,-3.5,0.43478260869565216,0.41304347826086957,0.021739130434782594,0.3064735054486748,0.2260645649613949,0.0804089404872799,2.104054054054054,1.450485436893204,0.6535686171608501
AUUdRQM9,1,bot,OpeningsBot,29.933333333333334,28.20689655172414,1.7264367816091948,0.5,0.3448275862068966,0.15517241379310343,0.17669463803263658,-0.016504200918866747,0.19319883895150333,1.3015873015873016,0.9295774647887325,0.37200983679856914
AWv6M5Az,1,bot,Boris-Trapsky,44.75,26.041666666666668,18.708333333333332,0.3958333333333333,0.5833333333333334,-0.18750000000000006,0.04794605221309726,0.04750680176861574,0.00043925044448151623,0.7473333333333334,1.119327731092437,-0.3719943977591036
